gameId,season,week,gameDate,gameTimeEastern,gameTimeLocal,homeTeamId,visitorTeamId,seasonType,weekNameAbbr,siteId,homeTeamDistance,visitingTeamDistance,homeTeamFinalScore,visitingTeamFinalScore,winningTeam
26931,2004,2,2004-09-19,13:03:00,12:03:00,3300,4500,REG,Week 2,2870,9,1894,30,27,3300
26928,2004,2,2004-09-19,13:02:00,12:02:00,1800,810,REG,Week 2,2606,1,157,10,21,810
26925,2004,2,2004-09-19,13:03:00,13:03:00,200,2510,REG,Week 2,1001,41,483,34,17,200
26926,2004,2,2004-09-19,13:02:00,13:02:00,325,3900,REG,Week 2,3695,13,195,30,13,325
26927,2004,2,2004-09-19,13:04:00,13:04:00,1540,2120,REG,Week 2,2026,10,1112,28,16,1540
26932,2004,2,2004-09-19,13:04:00,13:04:00,3410,5110,REG,Week 2,3757,1,218,20,14,3410
26937,2004,2,2004-09-19,16:15:00,13:15:00,2520,610,REG,Week 2,3225,3,2292,13,10,2520
26938,2004,2,2004-09-19,16:15:00,13:15:00,4400,3430,REG,Week 2,1002,2,2404,28,34,3430
26939,2004,2,2004-09-19,20:36:00,20:36:00,920,2700,REG,Week 2,3530,1,934,16,13,920
26936,2004,2,2004-09-19,16:15:00,15:15:00,1200,1050,REG,Week 2,4948,13,1027,19,12,1200
26933,2004,2,2004-09-19,13:02:00,12:02:00,2100,2200,REG,Week 2,2350,3,255,17,31,2200
26934,2004,2,2004-09-19,16:05:00,16:05:00,4900,4600,REG,Week 2,3697,1,2515,6,10,4600
26935,2004,2,2004-09-19,15:16:00,13:16:00,3800,3200,REG,Week 2,1907,6,2279,12,23,3200
26940,2004,2,2004-09-20,21:09:00,21:09:00,3700,3000,REG,Week 2,2769,2,990,27,16,3700
26944,2004,3,2004-09-26,13:00:00,12:00:00,2310,2120,REG,Week 3,1552,1,649,21,24,2120
26945,2004,3,2004-09-26,20:36:00,20:36:00,2700,3900,REG,Week 3,2475,8,1000,3,13,3900
26946,2004,3,2004-09-26,13:00:00,12:00:00,3000,810,REG,Week 3,1004,12,329,27,22,3000
26941,2004,3,2004-09-26,13:05:00,13:05:00,200,3800,REG,Week 3,1001,41,1581,6,3,200
26942,2004,3,2004-09-26,13:02:00,13:02:00,920,325,REG,Week 3,3530,1,414,9,23,325
26943,2004,3,2004-09-26,13:03:00,13:03:00,1540,3700,REG,Week 3,2026,10,442,13,30,3700
26947,2004,3,2004-09-26,13:02:00,13:02:00,3410,1050,REG,Week 3,3757,1,407,27,10,3410
26951,2004,3,2004-09-26,16:15:00,15:15:00,2200,1800,REG,Week 3,2878,8,341,45,31,2200
26952,2004,3,2004-09-26,16:16:00,13:16:00,4600,4500,REG,Week 3,5315,9,705,34,0,4600
26953,2004,3,2004-09-26,20:35:00,17:35:00,2520,4900,REG,Week 3,3225,3,2382,30,20,2520
26948,2004,3,2004-09-26,13:02:00,12:02:00,2510,3300,REG,Week 3,1006,17,596,25,28,3300
26949,2004,3,2004-09-26,13:02:00,12:02:00,2100,2250,REG,Week 3,2350,3,500,12,15,2250
26950,2004,3,2004-09-26,16:05:00,14:05:00,1400,4400,REG,Week 3,5786,14,826,23,13,1400
26954,2004,3,2004-09-27,21:10:00,21:10:00,5110,1200,REG,Week 3,2389,34,1197,18,21,1200
26958,2004,4,2004-10-03,13:02:00,12:02:00,1800,3410,REG,Week 4,2606,1,753,7,14,3410
26959,2004,4,2004-10-03,13:02:00,12:02:00,2120,2520,REG,Week 4,3698,1,1633,30,17,2120
26960,2004,4,2004-10-03,13:02:00,13:02:00,2250,2200,REG,Week 4,2049,1,708,17,24,2200
26955,2004,4,2004-10-03,13:02:00,13:02:00,610,3200,REG,Week 4,3770,2,388,17,31,3200
26956,2004,4,2004-10-03,13:05:00,12:05:00,810,3700,REG,Week 4,4620,29,663,9,19,3700
26957,2004,4,2004-10-03,13:02:00,13:02:00,1050,5110,REG,Week 4,1048,13,280,17,13,1050
26961,2004,4,2004-10-03,13:01:00,13:01:00,3900,920,REG,Week 4,5411,2,256,28,17,3900
26965,2004,4,2004-10-03,16:15:00,13:15:00,4400,2100,REG,Week 4,1002,2,1736,38,17,4400
26966,2004,4,2004-10-03,16:15:00,16:15:00,4900,1400,REG,Week 4,3697,1,1507,13,16,1400
26967,2004,4,2004-10-03,20:38:00,17:38:00,4500,2510,REG,Week 4,1007,32,1725,14,24,2510
26962,2004,4,2004-10-03,15:05:00,13:05:00,3800,3300,REG,Week 4,1907,6,1296,34,10,3800
26963,2004,4,2004-10-03,16:05:00,16:05:00,750,200,REG,Week 4,1769,1,188,10,27,200
26964,2004,4,2004-10-03,16:15:00,16:15:00,2700,3430,REG,Week 4,2475,8,1078,9,17,3430
26968,2004,4,2004-10-04,21:08:00,21:08:00,325,2310,REG,Week 4,3695,13,956,24,27,2310
26972,2004,5,2004-10-10,13:00:00,12:00:00,2200,2520,REG,Week 5,2878,8,1937,35,14,2200
26973,2004,5,2004-10-10,13:02:00,13:02:00,3200,2700,REG,Week 5,1065,2,1218,24,10,3200
26974,2004,5,2004-10-10,13:03:00,12:03:00,3300,4900,REG,Week 5,2870,9,479,17,20,4900
26969,2004,5,2004-10-10,13:05:00,13:05:00,200,1540,REG,Week 5,1001,41,591,10,17,1540
26970,2004,5,2004-10-10,13:03:00,12:03:00,1200,3410,REG,Week 5,4948,13,1385,10,26,3410
26971,2004,5,2004-10-10,13:02:00,12:02:00,2120,3000,REG,Week 5,3698,1,1054,28,34,3000
26975,2004,5,2004-10-10,13:02:00,13:02:00,3900,1050,REG,Week 5,5411,2,116,34,23,3900
26979,2004,5,2004-10-10,16:15:00,13:15:00,4500,3800,REG,Week 5,1007,32,660,31,28,4500
26980,2004,5,2004-10-10,16:15:00,13:15:00,4600,2510,REG,Week 5,5315,9,1703,27,33,2510
26981,2004,5,2004-10-10,20:36:00,20:36:00,5110,325,REG,Week 5,2389,34,35,10,17,325
26976,2004,5,2004-10-10,16:06:00,16:06:00,3430,610,REG,Week 5,3757,17,276,16,14,3430
26977,2004,5,2004-10-10,16:05:00,13:05:00,4400,2250,REG,Week 5,1002,2,2085,34,21,4400
26978,2004,5,2004-10-10,16:15:00,14:15:00,1400,750,REG,Week 5,5786,14,1357,20,17,1400
26982,2004,5,2004-10-11,21:09:00,20:09:00,1800,2100,REG,Week 5,2606,1,578,27,48,2100
26986,2004,6,2004-10-17,13:03:00,13:03:00,1050,920,REG,Week 6,1048,13,222,34,17,1050
26987,2004,6,2004-10-17,13:03:00,13:03:00,1540,1800,REG,Week 6,2026,10,292,10,38,1800
26988,2004,6,2004-10-17,13:02:00,13:02:00,2250,2310,REG,Week 6,2049,1,945,22,16,2250
26983,2004,6,2004-10-17,13:02:00,13:02:00,200,4400,REG,Week 6,1001,41,1884,21,20,200
26984,2004,6,2004-10-17,13:01:00,13:01:00,610,2700,REG,Week 6,3770,2,1157,20,13,610
26985,2004,6,2004-10-17,13:03:00,12:03:00,810,5110,REG,Week 6,4620,29,567,10,13,5110
